counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;60;72;0;0;0;1;542
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;332;398.4;0;0;0;1;3973
1;0;0;82;24;0.24;1;3987
2;0;0;62;38;0.38;1;4004
3;0;0;40;33;0.33;1;4021
4;0;0;47;33;0.33;1;4037
5;0;0;60;34;0.34;1;4056
6;0;0;40;28;0.28;1;4072
7;0;0;63;31;0.31;1;4088
8;0;0;45;36;0.36;1;4106
9;0;0;38;22;0.22;1;4139
10;0;0;101;54;0.54;1;4157
11;0;0;76;34;0.34;1;4175
12;0;0;62;27;0.27;1;4191
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;404;484.8;0;0;0;1;545
1;0;0;99;25;0.25;1;582
2;0;0;56;57;0.57;1;608
3;0;0;66;56;0.56;1;615
4;0;0;98;89;0.89;1;687
5;0;0;59;98;0.98;1;718
6;0;0;86;67;0.67;1;727
7;0;0;83;85;0.85;1;742
8;0;0;84;90;0.9;1;748
9;0;0;103;57;0.57;1;793
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;376;451.2;0;0;0;1;484
1;0;0;92;16;0.16;1;497
2;0;0;72;35;0.35;1;517
3;0;0;86;77;0.77;1;544
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;392;470.4;0;0;0;1;284
1;0;0;101;56;0.56;1;295
2;0;0;104;85;0.85;1;329
3;0;0;86;100;1;1;420
4;0;0;10;100;1;1;445
5;0;0;11;100;1;1;449
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;380;456;0;0;0;1;378
1;0;0;88;39;0.39;1;389
2;0;0;84;8;0.08;1;402
3;0;0;79;24;0.24;1;433
4;0;0;75;15;0.15;1;443
5;0;0;64;35;0.35;1;453
6;0;0;63;36;0.36;1;462
7;0;0;75;77;0.77;1;473
8;0;0;66;100;1;1;480
9;0;0;-122;100;1;1;511
10;0;0;35;100;1;1;538
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;332;398.4;0;0;0;1;944
1;0;0;83;100;1;1;945
2;0;0;84;100;1;1;955
3;0;0;75;100;1;1;991
4;0;0;110;100;1;1;1059
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played;clock
0;424;508.8;0;0;0;1;333
1;0;0;432;49;0.49;11;350
2;0;0;96;24;0.24;3;416
3;0;0;340;100;1;9;424
4;0;0;292;67;0.67;7;433
5;0;0;148;63;0.63;4;442
6;0;0;116;49;0.49;3;450
7;0;0;220;100;1;6;483
8;0;0;96;14;0.14;3;499
9;0;0;204;100;1;5;512
10;0;0;316;100;1;8;531
11;0;0;-440;38;0.38;1;750
12;0;0;-440;65;0.65;1;763
13;0;0;288;100;1;7;771
